CATEGORY;ID IN CATEGORY;PRICE;WEIGHT
1;1;24;22
1;2;15;42
1;3;9;25
2;1;14;40
2;2;11;44
2;3;28;8
3;1;34;46
3;2;22;12
3;3;44;23
4;1;4;15
4;2;32;39
4;3;45;26
5;1;20;12
5;2;19;12
5;3;12;41
6;1;28;39
6;2;28;6
6;3;49;49
7;1;8;15
7;2;46;29
7;3;20;44
8;1;43;43
8;2;30;29
8;3;11;47
9;1;46;32
9;2;8;48
9;3;9;3
10;1;43;17
10;2;26;48
10;3;48;43
11;1;43;48
11;2;8;27
11;3;7;13
12;1;20;34
12;2;37;29
12;3;13;39
13;1;10;41
13;2;31;33
13;3;46;41
14;1;11;49
14;2;7;4
14;3;12;49
15;1;25;15
15;2;2;29
15;3;46;14
16;1;28;33
16;2;38;11
16;3;21;5
TOTAL PRICE;1181;TOTAL WEIGHT;1413
